Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
2020-11-22,-3.367942,0.7781,3.051472,-0.401194,-0.150557,-0.165405,0.566749,0.217352,-0.353104,0.846392,0.395283,0.802791,0.250607,-0.121857,-1.120642,0.153122,0.961074,-0.447655,-0.628671,-0.231553,-0.55119,0.008815,-0.169011,-0.289757,0.283976,0.19527,0.135823,-0.635528,0.121856,0.073561,0.185159,-0.093781
2020-11-23,-3.539905,0.786507,2.18044,-0.652487,0.183157,0.626093,0.097711,-0.14783,-0.004305,-0.323747,-0.818467,0.233046,0.097289,-0.300444,-0.467189,0.061924,1.315469,-0.705355,-1.024823,0.232433,-0.002921,-0.263056,-0.330938,0.246607,-0.489737,0.086985,0.010999,-0.687333,0.151446,0.066201,0.101134,-0.093773
2020-11-24,-5.536381,0.99007,0.735409,-0.682747,1.227767,1.526087,-1.358636,0.887018,-0.235313,0.794464,2.754065,-0.301533,-1.067259,2.092077,0.165791,0.296445,1.033385,-0.13987,-0.148388,0.257126,-0.475204,0.023493,-0.158274,0.105449,0.052614,0.024378,-0.21505,0.098518,-0.182331,-0.006133,0.050007,-0.067155
2020-11-25,-3.343975,0.887227,2.338785,-0.837969,-0.981531,-0.665152,0.09536,-0.150527,0.850349,0.750734,-0.063215,0.795731,0.035385,0.263987,-0.551495,0.25985,1.290884,-0.067365,-0.594412,0.4514,-0.089192,-0.373915,-0.578861,0.197189,0.160846,-0.204702,0.054206,-0.504221,0.021259,0.020284,-0.026971,0.054458
2020-11-26,1.535842,0.827523,5.594075,2.288955,0.022461,0.430256,0.003445,2.38951,-0.861528,-0.451272,-1.293514,-0.730555,-0.517194,0.358454,-0.383304,0.519557,1.624617,0.364281,0.701716,-0.489515,-0.868869,0.407943,-0.697525,-0.218093,0.259808,-0.04355,-0.377716,0.061739,-0.031364,-0.014481,-0.097156,0.05623
2020-11-27,1.158561,0.486567,3.201872,-0.086579,2.857784,-0.285476,-0.536876,-1.840993,0.412758,-1.906139,-0.084849,0.573732,1.114352,0.690867,0.372709,-1.60829,1.530975,-0.983517,-0.523754,-0.420347,0.842131,-0.340327,0.218034,0.796835,-0.09628,0.366897,-0.042206,-0.17077,-0.043568,0.033888,-0.024635,0.10338
2020-11-28,-1.390266,0.533173,0.792648,0.648179,2.317562,-0.624814,-0.539075,-0.962964,1.661312,-0.112433,0.194452,1.564392,1.363049,1.115645,1.372036,-1.252797,0.663648,0.668989,0.400433,0.180955,-0.638921,0.576078,-0.418584,-0.114041,-0.084604,-0.094577,0.024193,-0.067106,-0.35281,0.046205,0.087713,0.026716
2020-11-29,-2.444617,0.573739,0.205969,0.041415,1.049073,-0.301796,-0.796852,0.688245,1.564148,0.051888,-1.689661,-0.417398,-1.333432,-0.404663,0.744891,-0.757991,0.797189,0.736289,-0.265117,-0.733694,0.008405,0.121677,-1.045469,-0.244346,0.192178,-0.086489,-0.05218,-0.074037,-0.013286,0.029973,0.07019,-0.042996
2020-11-30,-5.266944,0.993003,-1.573639,1.366013,1.172282,0.865938,-0.887353,1.464818,0.903639,-0.140123,-1.784078,0.028994,1.181404,0.482803,-0.523717,1.5079,1.110128,-0.209026,-0.379895,0.234521,-0.554836,0.299471,0.071644,-0.311086,0.23045,0.142626,-0.178745,-0.208661,0.332509,-0.017972,-0.040546,0.102717
2020-12-01,-2.631812,0.955476,2.02648,-0.549608,-2.322296,-0.318322,0.032455,0.173931,1.112318,0.993677,-0.291243,1.219388,-0.18511,0.425921,-0.866121,0.199317,1.337763,-0.212597,0.053998,-0.255626,-0.060275,0.731696,0.200385,-0.262636,0.046883,0.057491,-0.096376,0.144798,-0.077852,-0.023328,-0.144493,0.132055
2020-12-02,-3.127771,0.807866,0.902612,-1.069217,1.649498,-0.635272,1.188998,-0.254715,-0.131342,0.430608,0.382462,0.351579,0.061539,0.075274,-1.295355,-0.037951,0.978388,-0.410076,0.324602,-0.248321,0.035007,0.829265,0.148214,0.097128,-0.295172,-0.094605,-0.068149,0.103531,0.101573,-0.025852,-0.117403,0.138715
2020-12-03,-3.640309,0.80273,0.415383,-0.89436,0.250253,0.44018,0.197555,-0.279768,0.725904,-0.447966,-1.078242,0.065338,-0.240173,-0.053731,-0.756261,-0.231225,0.697738,0.145225,0.262252,0.153947,-0.106293,0.538407,0.015693,0.181142,-0.26912,-0.02786,0.006968,0.045197,-0.173315,0.016271,0.085931,-0.006494
2020-12-04,-0.966621,0.776614,2.94158,0.323529,-0.587517,-1.14671,0.126785,1.032822,0.344631,0.964315,-0.160844,0.237504,-0.798487,-0.52574,0.476203,-0.596946,0.769255,-0.575047,0.314361,0.913406,-0.174766,0.779578,0.528029,0.043306,-0.257578,0.120475,-0.289033,0.139467,-0.057811,0.057585,0.222787,-0.072407
